news_headline,news_article,news_category,full_text,clean_text
It's an opportunity to fix Australia's domestic cricket setup: Coach Langer,"Australia coach Justin Langer has termed the travel restrictions amid coronavirus lockdown as an ""opportunity"" to ""fix"" Australia's domestic cricket setup. ""Not long ago, we prided ourselves on having club cricket system that fed into state cricket, which fed into the best of the best playing for Australia,"" stated Langer. ""I can see it going back that way,"" he added. ",sports,"It's an opportunity to fix Australia's domestic cricket setup: Coach Langer. Australia coach Justin Langer has termed the travel restrictions amid coronavirus lockdown as an ""opportunity"" to ""fix"" Australia's domestic cricket setup. ""Not long ago, we prided ourselves on having club cricket system that fed into state cricket, which fed into the best of the best playing for Australia,"" stated Langer. ""I can see it going back that way,"" he added. ",opportunity fix australia domestic cricket setup coach langer australia coach justin langer ha termed travel restriction amid coronavirus lockdown opportunity fix australia domestic cricket setup long ago prided club cricket system fed state cricket fed best best playing australia stated langer see going back way added
NZ's Henry Nicholls to donate WC final jersey for COVID-19 relief efforts,"Kiwi batsman Henry Nicholls has decided to donate the jersey he wore in the ICC 2019 World Cup final last year to UNICEF New Zealand to aid in the fight against the coronavirus. The jersey is signed by all members of the NZ squad. ""One lucky donor who has supported our #FoodForKiwiFamilies appeal will receive it,"" announced UNICEF NZ.",sports,"NZ's Henry Nicholls to donate WC final jersey for COVID-19 relief efforts. Kiwi batsman Henry Nicholls has decided to donate the jersey he wore in the ICC 2019 World Cup final last year to UNICEF New Zealand to aid in the fight against the coronavirus. The jersey is signed by all members of the NZ squad. ""One lucky donor who has supported our #FoodForKiwiFamilies appeal will receive it,"" announced UNICEF NZ.",nzs henry nicholls donate wc final jersey covid19 relief effort kiwi batsman henry nicholls ha decided donate jersey wore icc 2019 world cup final last year unicef new zealand aid fight coronavirus jersey signed member nz squad one lucky donor ha supported foodforkiwifamilies appeal receive announced unicef nz
"PCB to support 1st-class cricketers, match officials amid COVID-19 lockdown","The Pakistan Cricket Board has announced financial aid for the first-class cricketers, match officials and ground staff amid the suspension of cricketing events over the coronavirus pandemic. The first-class cricketers will be given PKR 25,000, the match officials PKR 15,000, and the ground staff PKR 10,000. However, the aid will be available subject to fulfilling the eligibility criteria. ",sports,"PCB to support 1st-class cricketers, match officials amid COVID-19 lockdown. The Pakistan Cricket Board has announced financial aid for the first-class cricketers, match officials and ground staff amid the suspension of cricketing events over the coronavirus pandemic. The first-class cricketers will be given PKR 25,000, the match officials PKR 15,000, and the ground staff PKR 10,000. However, the aid will be available subject to fulfilling the eligibility criteria. ",pcb support 1stclass cricketer match official amid covid19 lockdown pakistan cricket board ha announced financial aid firstclass cricketer match official ground staff amid suspension cricketing event coronavirus pandemic firstclass cricketer given pkr 25000 match official pkr 15000 ground staff pkr 10000 however aid available subject fulfilling eligibility criterion
"Wasim Akram, Babar Azam to conduct online sessions with Pak Women's team","Wasim Akram and Babar Azam will take online sessions with the Pakistan Women's team amid the coronavirus lockdown. ""Sessions with Wasim and Babar will provide the players an opportunity to listen and learn from the best, helping them improve their game,"" said Urooj Mumtaz of the national women's selection committee. Wasim had earlier conducted a similar session with men's team. ",sports,"Wasim Akram, Babar Azam to conduct online sessions with Pak Women's team. Wasim Akram and Babar Azam will take online sessions with the Pakistan Women's team amid the coronavirus lockdown. ""Sessions with Wasim and Babar will provide the players an opportunity to listen and learn from the best, helping them improve their game,"" said Urooj Mumtaz of the national women's selection committee. Wasim had earlier conducted a similar session with men's team. ",wasim akram babar azam conduct online session pak woman team wasim akram babar azam take online session pakistan woman team amid coronavirus lockdown session wasim babar provide player opportunity listen learn best helping improve game said urooj mumtaz national woman selection committee wasim earlier conducted similar session men team
It was because of Sachin that we won the 2011 World Cup: Suresh Raina,"Talking about India's 2011 World Cup win, Suresh Raina said that Sachin Tendulkar ""was the reason"" behind India lifting the trophy. ""He was the guy who made everyone in the team believe that we can do that, he was like the second coach in the team,"" Raina added. Tendulkar was the second-highest run-scorer in the tournament. ",sports,"It was because of Sachin that we won the 2011 World Cup: Suresh Raina. Talking about India's 2011 World Cup win, Suresh Raina said that Sachin Tendulkar ""was the reason"" behind India lifting the trophy. ""He was the guy who made everyone in the team believe that we can do that, he was like the second coach in the team,"" Raina added. Tendulkar was the second-highest run-scorer in the tournament. ",wa sachin 2011 world cup suresh raina talking india 2011 world cup win suresh raina said sachin tendulkar wa reason behind india lifting trophy wa guy made everyone team believe wa like second coach team raina added tendulkar wa secondhighest runscorer tournament
Kuldeep Yadav reveals what Kumble told him ahead of his Test debut,"Recalling his Test debut against Australia in 2017 at Dharamsala, spinner Kuldeep Yadav revealed that the then head coach Anil Kumble asked him to pick five wickets in the match. ""I paused for a second, and then I was like, 'yes sir, I will pick up 5 wickets',"" he added. Kuldeep ended the match with four wickets.",sports,"Kuldeep Yadav reveals what Kumble told him ahead of his Test debut. Recalling his Test debut against Australia in 2017 at Dharamsala, spinner Kuldeep Yadav revealed that the then head coach Anil Kumble asked him to pick five wickets in the match. ""I paused for a second, and then I was like, 'yes sir, I will pick up 5 wickets',"" he added. Kuldeep ended the match with four wickets.",kuldeep yadav reveals kumble told ahead test debut recalling test debut australia 2017 dharamsala spinner kuldeep yadav revealed head coach anil kumble asked pick five wicket match paused second wa like yes sir pick 5 wicket added kuldeep ended match four wicket
"Was a team effort, proud moment: Pujara recalls 2018-19 Test series win in Aus","Recalling India's first-ever Test series win on Australian soil in 2018-19, Cheteshwar Pujara said that it was a ""collective effort"" and a ""proud moment"" for all of them. ""The first match defined the series for all of us...we knew after winning the first Test that we were in a commanding position,"" Pujara stated. India had won the series 2-1. ",sports,"Was a team effort, proud moment: Pujara recalls 2018-19 Test series win in Aus. Recalling India's first-ever Test series win on Australian soil in 2018-19, Cheteshwar Pujara said that it was a ""collective effort"" and a ""proud moment"" for all of them. ""The first match defined the series for all of us...we knew after winning the first Test that we were in a commanding position,"" Pujara stated. India had won the series 2-1. ",wa team effort proud moment pujara recall 201819 test series win au recalling india firstever test series win australian soil 201819 cheteshwar pujara said wa collective effort proud moment first match defined series uswe knew winning first test commanding position pujara stated india series 21
I would love to play for KKR in IPL till my retirement: Andre Russell,"Expressing his desire to play for the Kolkata Knight Riders in IPL till his retirement from cricket, West Indies all-rounder Andre Russell stated that he gets the ""most goosebumps"" when he's playing in the tournament. ""When I walk out...I have goosebumps all over me because of the welcome,"" he added. ""I'd love to be at KKR [till retirement],"" he stated.",sports,"I would love to play for KKR in IPL till my retirement: Andre Russell. Expressing his desire to play for the Kolkata Knight Riders in IPL till his retirement from cricket, West Indies all-rounder Andre Russell stated that he gets the ""most goosebumps"" when he's playing in the tournament. ""When I walk out...I have goosebumps all over me because of the welcome,"" he added. ""I'd love to be at KKR [till retirement],"" he stated.",would love play kkr ipl till retirement andre russell expressing desire play kolkata knight rider ipl till retirement cricket west indie allrounder andre russell stated get goosebump playing tournament walk outi goosebump welcome added would love kkr [ till retirement ] stated
Discus thrower Sandeep Kumari banned for 4 years for failing dope test,"World Anti-Doping Agency (WADA) has banned discus thrower Sandeep Kumari for four years for failing a dope test. Her sample was collected in June 2018 and was reportedly found clean by the National Dope Testing Laboratory. However, WADA sent the sample to its laboratory in Canada where it returned positive. Her ban will begin from the date of sample collection.",sports,"Discus thrower Sandeep Kumari banned for 4 years for failing dope test. World Anti-Doping Agency (WADA) has banned discus thrower Sandeep Kumari for four years for failing a dope test. Her sample was collected in June 2018 and was reportedly found clean by the National Dope Testing Laboratory. However, WADA sent the sample to its laboratory in Canada where it returned positive. Her ban will begin from the date of sample collection.",discus thrower sandeep kumari banned 4 year failing dope test world antidoping agency wada ha banned discus thrower sandeep kumari four year failing dope test sample wa collected june 2018 wa reportedly found clean national dope testing laboratory however wada sent sample laboratory canada returned positive ban begin date sample collection
WV Raman helped me master my rhythm: Ravichandran Ashwin,"Talking about his bowling, India off-spinner Ravichandran Ashwin revealed that ex-India cricketer WV Raman helped him ""master"" his rhythm. ""He [Raman] trained us to throw the ball accurately that should land above the stumps,"" revealed Ashwin on ESPNcricinfo Videocast. ""He would keep telling me, you're running 10% slower or you're running 15% faster,"" he added.",sports,"WV Raman helped me master my rhythm: Ravichandran Ashwin. Talking about his bowling, India off-spinner Ravichandran Ashwin revealed that ex-India cricketer WV Raman helped him ""master"" his rhythm. ""He [Raman] trained us to throw the ball accurately that should land above the stumps,"" revealed Ashwin on ESPNcricinfo Videocast. ""He would keep telling me, you're running 10% slower or you're running 15% faster,"" he added.",wv raman helped master rhythm ravichandran ashwin talking bowling india offspinner ravichandran ashwin revealed exindia cricketer wv raman helped master rhythm [ raman ] trained u throw ball accurately land stump revealed ashwin espncricinfo videocast would keep telling running 10 slower running 15 faster added
"KL Rahul a proper wicketkeeper, he's technically sound: Ex-player Dasgupta","Former India wicketkeeper-batsman Deep Dasgupta has said that KL Rahul should keep wickets for India as he's a ""proper wicketkeeper"" and is ""technically sound"". On Rishabh Pant, Dasgupta said that the 22-year-old Pant should be prepared for the ""long term"". ""You need to show him [Pant] tough love and [let him play] domestic cricket,"" he added.",sports,"KL Rahul a proper wicketkeeper, he's technically sound: Ex-player Dasgupta. Former India wicketkeeper-batsman Deep Dasgupta has said that KL Rahul should keep wickets for India as he's a ""proper wicketkeeper"" and is ""technically sound"". On Rishabh Pant, Dasgupta said that the 22-year-old Pant should be prepared for the ""long term"". ""You need to show him [Pant] tough love and [let him play] domestic cricket,"" he added.",kl rahul proper wicketkeeper technically sound explayer dasgupta former india wicketkeeperbatsman deep dasgupta ha said kl rahul keep wicket india proper wicketkeeper technically sound rishabh pant dasgupta said 22yearold pant prepared long term need show [ pant ] tough love [ let play ] domestic cricket added
"Laxman didn't care who's bowling at what pace, made you pay: Brett Lee","Praising VVS Laxman, ex-Australia pacer Brett Lee said that the former India batsman had a ""beautiful technique"" and had a ""cheekiness"" in his batting approach. ""When they're cheeky...they don't care who's bowling at what pace, they'll get through it and they'll make you pay and hurt,"" Lee stated. ""It was great fun to bowl against him,"" he added.",sports,"Laxman didn't care who's bowling at what pace, made you pay: Brett Lee. Praising VVS Laxman, ex-Australia pacer Brett Lee said that the former India batsman had a ""beautiful technique"" and had a ""cheekiness"" in his batting approach. ""When they're cheeky...they don't care who's bowling at what pace, they'll get through it and they'll make you pay and hurt,"" Lee stated. ""It was great fun to bowl against him,"" he added.",laxman care bowling pace made pay brett lee praising vvs laxman exaustralia pacer brett lee said former india batsman beautiful technique cheekiness batting approach cheekythey care bowling pace get make pay hurt lee stated wa great fun bowl added
"Mohammad Yousuf ranks Tendulkar above Lara, Ponting, Kallis, Sangakkara","On being asked to reveal his pick among Sachin Tendulkar, Brian Lara, Ricky Ponting, Jacques Kallis and Kumar Sangakkara, former Pakistan batsman Mohammad Yousuf picked Tendulkar as number one. Yousuf further ranked Lara as second, Ponting third, Kallis fourth and Sangakkara fifth. He also named Tendulkar and Lara as his two favourite cricketers in the world.",sports,"Mohammad Yousuf ranks Tendulkar above Lara, Ponting, Kallis, Sangakkara. On being asked to reveal his pick among Sachin Tendulkar, Brian Lara, Ricky Ponting, Jacques Kallis and Kumar Sangakkara, former Pakistan batsman Mohammad Yousuf picked Tendulkar as number one. Yousuf further ranked Lara as second, Ponting third, Kallis fourth and Sangakkara fifth. He also named Tendulkar and Lara as his two favourite cricketers in the world.",mohammad yousuf rank tendulkar lara ponting kallis sangakkara asked reveal pick among sachin tendulkar brian lara ricky ponting jacques kallis kumar sangakkara former pakistan batsman mohammad yousuf picked tendulkar number one yousuf ranked lara second ponting third kallis fourth sangakkara fifth also named tendulkar lara two favourite cricketer world
People know only about cricket: Rijiju on viral 100m run videos,"Sports Minister Kiren Rijiju has said that he responded to the viral 100-metre run videos of Madhya Pradesh's Rameshwar Gurjar and Kambala jockey Srinivas Gowda to show people that he's willing to give ""opportunities"" to all potentials. ""People know only about cricket, people don't know about other sports,"" stated Rijiju. Gurjar had failed to replicate his viral timing in trial.",sports,"People know only about cricket: Rijiju on viral 100m run videos. Sports Minister Kiren Rijiju has said that he responded to the viral 100-metre run videos of Madhya Pradesh's Rameshwar Gurjar and Kambala jockey Srinivas Gowda to show people that he's willing to give ""opportunities"" to all potentials. ""People know only about cricket, people don't know about other sports,"" stated Rijiju. Gurjar had failed to replicate his viral timing in trial.",people know cricket rijiju viral 100m run video sport minister kiren rijiju ha said responded viral 100metre run video madhya pradeshs rameshwar gurjar kambala jockey srinivas gowda show people willing give opportunity potential people know cricket people know sport stated rijiju gurjar failed replicate viral timing trial
"Singapore man insults Indians in coronavirus tweet, minister assures action","Singapore Law Minister K Shanmugam has said action will be taken against a man for insulting Indians on social media. The man had tweeted that amid the coronavirus outbreak, ""those who sit too close to each other are Malays, Indians or foreigners, and not true blue Singaporeans"". Shanmugam said the tweet was ""done deliberately to stoke anger, unhappiness, racial tensions"".",world,"Singapore man insults Indians in coronavirus tweet, minister assures action. Singapore Law Minister K Shanmugam has said action will be taken against a man for insulting Indians on social media. The man had tweeted that amid the coronavirus outbreak, ""those who sit too close to each other are Malays, Indians or foreigners, and not true blue Singaporeans"". Shanmugam said the tweet was ""done deliberately to stoke anger, unhappiness, racial tensions"".",singapore man insult indian coronavirus tweet minister assures action singapore law minister k shanmugam ha said action taken man insulting indian social medium man tweeted amid coronavirus outbreak sit close malay indian foreigner true blue singaporean shanmugam said tweet wa done deliberately stoke anger unhappiness racial tension
UK PM Boris Johnson names his son after doctors who saved his life as first pic out,"UK PM Boris Johnson and his fiancée Carrie Symonds have named their baby boy Wilfred Lawrie Nicholas Johnson. Carrie also shared a picture of their newborn son on Instagram and revealed 'Nicholas' in his name is after Dr Nick Price and Dr Nick Hart, the two doctors who saved Boris' life last month after he was diagnosed with coronavirus.",world,"UK PM Boris Johnson names his son after doctors who saved his life as first pic out. UK PM Boris Johnson and his fiancée Carrie Symonds have named their baby boy Wilfred Lawrie Nicholas Johnson. Carrie also shared a picture of their newborn son on Instagram and revealed 'Nicholas' in his name is after Dr Nick Price and Dr Nick Hart, the two doctors who saved Boris' life last month after he was diagnosed with coronavirus.",uk pm boris johnson name son doctor saved life first pic uk pm boris johnson fiancee carrie symonds named baby boy wilfred lawrie nicholas johnson carrie also shared picture newborn son instagram revealed nicholas name dr nick price dr nick hart two doctor saved boris life last month wa diagnosed coronavirus
US man tries to self-isolate on private Disney island closed for public; arrested,"A 42-year-old US man was arrested this week for trespassing after he was found self-isolating on a private Disney island closed for the public since 1999. Police searched for him on foot, by helicopter, and by boat before finally making contact with him. The man had plans to camp there for a week and called the place a ""tropical paradise"".",world,"US man tries to self-isolate on private Disney island closed for public; arrested. A 42-year-old US man was arrested this week for trespassing after he was found self-isolating on a private Disney island closed for the public since 1999. Police searched for him on foot, by helicopter, and by boat before finally making contact with him. The man had plans to camp there for a week and called the place a ""tropical paradise"".",u man try selfisolate private disney island closed public arrested 42yearold u man wa arrested week trespassing wa found selfisolating private disney island closed public since 1999 police searched foot helicopter boat finally making contact man plan camp week called place tropical paradise
Doctors gave me 'litres and litres of oxygen' to keep me alive: UK PM Johnson,"UK Prime Minister Boris Johnson has revealed that while battling coronavirus doctors gave him ""litres and litres of oxygen"" so as to keep him alive. In an interview with The Sun, Johnson said his stay in London's St Thomas' Hospital left him driven by a desire to both stop others' suffering and to get the UK ""back on its feet"".",world,"Doctors gave me 'litres and litres of oxygen' to keep me alive: UK PM Johnson. UK Prime Minister Boris Johnson has revealed that while battling coronavirus doctors gave him ""litres and litres of oxygen"" so as to keep him alive. In an interview with The Sun, Johnson said his stay in London's St Thomas' Hospital left him driven by a desire to both stop others' suffering and to get the UK ""back on its feet"".",doctor gave litre litre oxygen keep alive uk pm johnson uk prime minister boris johnson ha revealed battling coronavirus doctor gave litre litre oxygen keep alive interview sun johnson said stay london st thomas hospital left driven desire stop others suffering get uk back foot
"Russia records its highest daily rise in COVID-19 cases as 10,633 people infected","Russia on Sunday recorded its highest daily rise in confirmed coronavirus cases as 10,633 people got infected, bringing the total number of cases to 134,687. The nationwide death toll rose to 1,280 on Sunday, Russia's coronavirus crisis response centre said on its website. More than half of the cases and deaths in Russia have been reported from Moscow.",world,"Russia records its highest daily rise in COVID-19 cases as 10,633 people infected. Russia on Sunday recorded its highest daily rise in confirmed coronavirus cases as 10,633 people got infected, bringing the total number of cases to 134,687. The nationwide death toll rose to 1,280 on Sunday, Russia's coronavirus crisis response centre said on its website. More than half of the cases and deaths in Russia have been reported from Moscow.",russia record highest daily rise covid19 case 10633 people infected russia sunday recorded highest daily rise confirmed coronavirus case 10633 people got infected bringing total number case 134687 nationwide death toll rose 1280 sunday russia coronavirus crisis response centre said website half case death russia reported moscow
Italy reports lowest daily COVID-19 death toll since 1st day of lockdown as 174 die,"As many as 174 people died of coronavirus in Italy on Sunday, the lowest daily death toll in the country since the first day of lockdown (March 10). The total death toll in the country rose to 28,884. The total number of coronavirus cases in Italy has risen to 210,717, the third-highest global tally behind those of US and Spain.",world,"Italy reports lowest daily COVID-19 death toll since 1st day of lockdown as 174 die. As many as 174 people died of coronavirus in Italy on Sunday, the lowest daily death toll in the country since the first day of lockdown (March 10). The total death toll in the country rose to 28,884. The total number of coronavirus cases in Italy has risen to 210,717, the third-highest global tally behind those of US and Spain.",italy report lowest daily covid19 death toll since 1st day lockdown 174 die many 174 people died coronavirus italy sunday lowest daily death toll country since first day lockdown march 10 total death toll country rose 28884 total number coronavirus case italy ha risen 210717 thirdhighest global tally behind u spain
UK PM Johnson reveals doctors prepared to announce his death as he battled coronavirus,"UK PM Boris Johnson has revealed doctors prepared to announce his death as he battled coronavirus. ""They had a strategy to deal with 'death of Stalin'-type scenario,"" he told The Sun. ""I wasn't in particularly brilliant shape and I was aware there were contingency plans in place,"" he added. He revealed he ""really didn’t want to go to hospital"" initially.",world,"UK PM Johnson reveals doctors prepared to announce his death as he battled coronavirus. UK PM Boris Johnson has revealed doctors prepared to announce his death as he battled coronavirus. ""They had a strategy to deal with 'death of Stalin'-type scenario,"" he told The Sun. ""I wasn't in particularly brilliant shape and I was aware there were contingency plans in place,"" he added. He revealed he ""really didn’t want to go to hospital"" initially.",uk pm johnson reveals doctor prepared announce death battled coronavirus uk pm boris johnson ha revealed doctor prepared announce death battled coronavirus strategy deal death stalintype scenario told sun wa particularly brilliant shape wa aware contingency plan place added revealed really didnt want go hospital initially
"North Korea fires multiple gunshots at South Korean guard post, S Korea hits back","South Korea responded by firing two shots towards North Korea, after the latter fired multiple gunshots at a South Korean guard post in the Demilitarised Zone. No casualties or damage to South Korean facilities were reported, South Korean Joint Chiefs of Staff said, adding, ""We are taking actions...to prevent any further incidents. And we also maintain a necessary readiness posture.""",world,"North Korea fires multiple gunshots at South Korean guard post, S Korea hits back. South Korea responded by firing two shots towards North Korea, after the latter fired multiple gunshots at a South Korean guard post in the Demilitarised Zone. No casualties or damage to South Korean facilities were reported, South Korean Joint Chiefs of Staff said, adding, ""We are taking actions...to prevent any further incidents. And we also maintain a necessary readiness posture.""",north korea fire multiple gunshot south korean guard post korea hit back south korea responded firing two shot towards north korea latter fired multiple gunshot south korean guard post demilitarised zone casualty damage south korean facility reported south korean joint chief staff said adding taking actionsto prevent incident also maintain necessary readiness posture
We believe Kim Jong-un did not have heart surgery: South Korean govt official,"South Korea's assessment is that North Korean leader Kim Jong-un didn't have a heart surgery, local news outlet Yonhap said, citing an unidentified senior government official. ""We've reasons to believe that there was no surgery, but cannot disclose such details,"" the official reportedly said. Kim was recently seen at a ceremony after disappearing from media coverage for around 20 days.",world,"We believe Kim Jong-un did not have heart surgery: South Korean govt official. South Korea's assessment is that North Korean leader Kim Jong-un didn't have a heart surgery, local news outlet Yonhap said, citing an unidentified senior government official. ""We've reasons to believe that there was no surgery, but cannot disclose such details,"" the official reportedly said. Kim was recently seen at a ceremony after disappearing from media coverage for around 20 days.",believe kim jongun heart surgery south korean govt official south korea assessment north korean leader kim jongun heart surgery local news outlet yonhap said citing unidentified senior government official reason believe wa surgery cannot disclose detail official reportedly said kim wa recently seen ceremony disappearing medium coverage around 20 day
I am glad to see he is back and well: Trump after Kim Jong-un's photos released,"After North Korean state media released pictures of leader Kim Jong-un, US President Donald Trump said, ""I am glad to see he is back and well!"" In the pictures, Kim can be seen smiling and talking to aides at a fertiliser plant's inauguration ceremony. Reports had earlier claimed that Kim died after a cardiovascular surgery.",world,"I am glad to see he is back and well: Trump after Kim Jong-un's photos released. After North Korean state media released pictures of leader Kim Jong-un, US President Donald Trump said, ""I am glad to see he is back and well!"" In the pictures, Kim can be seen smiling and talking to aides at a fertiliser plant's inauguration ceremony. Reports had earlier claimed that Kim died after a cardiovascular surgery.",glad see back well trump kim jonguns photo released north korean state medium released picture leader kim jongun u president donald trump said glad see back well picture kim seen smiling talking aide fertiliser plant inauguration ceremony report earlier claimed kim died cardiovascular surgery
Shots fired from N Korea at S Korean guard post likely accidental: US,"US Secretary of State Mike Pompeo said shots fired from North Korea at a South Korean guard post in the Demilitarised Zone are likely to be accidental. ""South Koreans did return fire. There was no loss of life on either side,"" Pompeo added. The incident came after North Korean leader Kim Jong-un made his first public appearance since April 11.",world,"Shots fired from N Korea at S Korean guard post likely accidental: US. US Secretary of State Mike Pompeo said shots fired from North Korea at a South Korean guard post in the Demilitarised Zone are likely to be accidental. ""South Koreans did return fire. There was no loss of life on either side,"" Pompeo added. The incident came after North Korean leader Kim Jong-un made his first public appearance since April 11.",shot fired n korea korean guard post likely accidental u u secretary state mike pompeo said shot fired north korea south korean guard post demilitarised zone likely accidental south korean return fire wa loss life either side pompeo added incident came north korean leader kim jongun made first public appearance since april 11
North Korean leader Kim Jong-un seen smoking after reports of heart surgery,"In a video released by North Korean state media, leader Kim Jong-un can be seen smoking a cigarette. This comes amid reports that he underwent a cardiovascular surgery. Kim was seen at a fertiliser plant's inauguration ceremony after disappearing from media coverage for around 20 days. State media released pictures of Kim with his aides.",world,"North Korean leader Kim Jong-un seen smoking after reports of heart surgery. In a video released by North Korean state media, leader Kim Jong-un can be seen smoking a cigarette. This comes amid reports that he underwent a cardiovascular surgery. Kim was seen at a fertiliser plant's inauguration ceremony after disappearing from media coverage for around 20 days. State media released pictures of Kim with his aides.",north korean leader kim jongun seen smoking report heart surgery video released north korean state medium leader kim jongun seen smoking cigarette come amid report underwent cardiovascular surgery kim wa seen fertiliser plant inauguration ceremony disappearing medium coverage around 20 day state medium released picture kim aide
1/3rd of 500 random COVID-19 tests found +ve in Afghanistan,"One-third of random COVID-19 tests in Afghanistan's capital Kabul came back positive, the country's Health Ministry said. The results of the random tests are concerning, the number of COVID-19 cases in Afghanistan will likely rise sharply as more testing becomes available, a Health Ministry spokesman said. Afghanistan has so far tested nearly 12,000 people out of which 2,700 tested positive.",world,"1/3rd of 500 random COVID-19 tests found +ve in Afghanistan. One-third of random COVID-19 tests in Afghanistan's capital Kabul came back positive, the country's Health Ministry said. The results of the random tests are concerning, the number of COVID-19 cases in Afghanistan will likely rise sharply as more testing becomes available, a Health Ministry spokesman said. Afghanistan has so far tested nearly 12,000 people out of which 2,700 tested positive.",13rd 500 random covid19 test found afghanistan onethird random covid19 test afghanistan capital kabul came back positive country health ministry said result random test concerning number covid19 case afghanistan likely rise sharply testing becomes available health ministry spokesman said afghanistan ha far tested nearly 12000 people 2700 tested positive
Bangladesh reports its biggest rise in daily COVID-19 cases at 665,"Bangladesh on Sunday reported 665 new cases of coronavirus in the previous 24 hours, its biggest one-day jump in virus cases, increasing its total virus cases to 9,455. Bangladesh reported two deaths from coronavirus during the same period, taking its total death toll to 177. A Bangladeshi health official said that the country has conducted 81,434 coronavirus tests.",world,"Bangladesh reports its biggest rise in daily COVID-19 cases at 665. Bangladesh on Sunday reported 665 new cases of coronavirus in the previous 24 hours, its biggest one-day jump in virus cases, increasing its total virus cases to 9,455. Bangladesh reported two deaths from coronavirus during the same period, taking its total death toll to 177. A Bangladeshi health official said that the country has conducted 81,434 coronavirus tests.",bangladesh report biggest rise daily covid19 case 665 bangladesh sunday reported 665 new case coronavirus previous 24 hour biggest oneday jump virus case increasing total virus case 9455 bangladesh reported two death coronavirus period taking total death toll 177 bangladeshi health official said country ha conducted 81434 coronavirus test
Ex-US Prez Bush urges Americans to be empathetic during pandemic,"Former US President George Bush urged Americans to be empathetic, compassionate and kind during the coronavirus pandemic. Bush also said that these are essential and powerful tools of national recovery. The US is the worst coronavirus-hit country in the world with over 11 lakh cases of the virus and over 66,000 deaths from the virus.",world,"Ex-US Prez Bush urges Americans to be empathetic during pandemic. Former US President George Bush urged Americans to be empathetic, compassionate and kind during the coronavirus pandemic. Bush also said that these are essential and powerful tools of national recovery. The US is the worst coronavirus-hit country in the world with over 11 lakh cases of the virus and over 66,000 deaths from the virus.",exus prez bush urge american empathetic pandemic former u president george bush urged american empathetic compassionate kind coronavirus pandemic bush also said essential powerful tool national recovery u worst coronavirushit country world 11 lakh case virus 66000 death virus
"Vietnam reports first COVID-19 case in 9 days, total cases at 271","Vietnam on Sunday reported its first COVID-19 case in nine days taking its total virus cases to 271, the country's Health Ministry said. The patient is a British oil expert who was quarantined on arrival, it added. Vietnam has reported no deaths from COVID-19. The country has carried out 2.61 lakh COVID-19 tests and quarantined 30,500 people.",world,"Vietnam reports first COVID-19 case in 9 days, total cases at 271. Vietnam on Sunday reported its first COVID-19 case in nine days taking its total virus cases to 271, the country's Health Ministry said. The patient is a British oil expert who was quarantined on arrival, it added. Vietnam has reported no deaths from COVID-19. The country has carried out 2.61 lakh COVID-19 tests and quarantined 30,500 people.",vietnam report first covid19 case 9 day total case 271 vietnam sunday reported first covid19 case nine day taking total virus case 271 country health ministry said patient british oil expert wa quarantined arrival added vietnam ha reported death covid19 country ha carried 261 lakh covid19 test quarantined 30500 people
"647 foreign workers test COVID-19 +ve in Singapore, cases cross 18,000","Singapore on Sunday reported 657 new cases of COVID-19, including 647 virus cases detected in foreign workers, in the previous 24 hours as the total virus cases in the country rose to 18,205. ""While the number of community cases has come down, we are not out of the woods yet,"" Singapore's Health Minister Gan Kim Yong said.",world,"647 foreign workers test COVID-19 +ve in Singapore, cases cross 18,000. Singapore on Sunday reported 657 new cases of COVID-19, including 647 virus cases detected in foreign workers, in the previous 24 hours as the total virus cases in the country rose to 18,205. ""While the number of community cases has come down, we are not out of the woods yet,"" Singapore's Health Minister Gan Kim Yong said.",647 foreign worker test covid19 singapore case cross 18000 singapore sunday reported 657 new case covid19 including 647 virus case detected foreign worker previous 24 hour total virus case country rose 18205 number community case ha come wood yet singapore health minister gan kim yong said
"Pakistan reports 989 new COVID-19 cases, total cases exceed 19,000","Pakistan on Sunday reported 989 new cases of COVID-19 in the previous 24 hours, taking its total virus cases to 19,103. The country reported 23 deaths from COVID-19 during the same period, taking its total deaths from the virus to 440. Authorities in Pakistan have reportedly conducted 2.03 lakh coronavirus tests in total.",world,"Pakistan reports 989 new COVID-19 cases, total cases exceed 19,000. Pakistan on Sunday reported 989 new cases of COVID-19 in the previous 24 hours, taking its total virus cases to 19,103. The country reported 23 deaths from COVID-19 during the same period, taking its total deaths from the virus to 440. Authorities in Pakistan have reportedly conducted 2.03 lakh coronavirus tests in total.",pakistan report 989 new covid19 case total case exceed 19000 pakistan sunday reported 989 new case covid19 previous 24 hour taking total virus case 19103 country reported 23 death covid19 period taking total death virus 440 authority pakistan reportedly conducted 203 lakh coronavirus test total
